"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"CICDNCRA","Malignant neoplasms of colon, rectum and anus","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","2000","2000",29.4,,
"CICDNCRA","Malignant neoplasms of colon, rectum and anus","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","2001","2001",28.7,,
"CICDNCRA","Malignant neoplasms of colon, rectum and anus","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","2002","2002",27,,
"CICDNCRA","Malignant neoplasms of colon, rectum and anus","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","2003","2003",25.3,,
"CICDNCRA","Malignant neoplasms of colon, rectum and anus","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","2004","2004",23.1,,
"CICDNCRA","Malignant neoplasms of colon, rectum and anus","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","2006","2006",21.1,,
"CICDNCRA","Malignant neoplasms of colon, rectum and anus","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","2007","2007",21.2,,
"CICDNCRA","Malignant neoplasms of colon, rectum and anus","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","2008","2008",20.8,,
"CICDNCRA","Malignant neoplasms of colon, rectum and anus","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","2009","2009",19.9,,
"CICDNCRA","Malignant neoplasms of colon, rectum and anus","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","2010","2010",19.4,,
"CICDNCRA","Malignant neoplasms of colon, rectum and anus","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","2011","2011",19.1,,
"CICDNCRA","Malignant neoplasms of colon, rectum and anus","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","2012","2012",18.4,,
"CICDNCRA","Malignant neoplasms of colon, rectum and anus","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","2013","2013",18.7,,
"CICDNCRA","Malignant neoplasms of colon, rectum and anus","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUS","Australia","2014","2014",17.9,,
"CICDNCRA","Malignant neoplasms of colon, rectum and anus","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUT","Austria","2000","2000",31.2,,
"CICDNCRA","Malignant neoplasms of colon, rectum and anus","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUT","Austria","2001","2001",29.5,,
"CICDNCRA","Malignant neoplasms of colon, rectum and anus","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUT","Austria","2002","2002",29.6,"B","Break"
"CICDNCRA","Malignant neoplasms of colon, rectum and anus","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUT","Austria","2003","2003",30.4,,
"CICDNCRA","Malignant neoplasms of colon, rectum and anus","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUT","Austria","2004","2004",27.8,,
"CICDNCRA","Malignant neoplasms of colon, rectum and anus","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUT","Austria","2005","2005",27.2,,
"CICDNCRA","Malignant neoplasms of colon, rectum and anus","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUT","Austria","2006","2006",26.1,,
"CICDNCRA","Malignant neoplasms of colon, rectum and anus","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUT","Austria","2007","2007",24,,
"CICDNCRA","Malignant neoplasms of colon, rectum and anus","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUT","Austria","2008","2008",23.8,,
"CICDNCRA","Malignant neoplasms of colon, rectum and anus","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUT","Austria","2009","2009",22.4,,
"CICDNCRA","Malignant neoplasms of colon, rectum and anus","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUT","Austria","2010","2010",21.9,,
"CICDNCRA","Malignant neoplasms of colon, rectum and anus","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUT","Austria","2011","2011",21.8,,
"CICDNCRA","Malignant neoplasms of colon, rectum and anus","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUT","Austria","2012","2012",21.1,,
"CICDNCRA","Malignant neoplasms of colon, rectum and anus","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUT","Austria","2013","2013",21,,
"CICDNCRA","Malignant neoplasms of colon, rectum and anus","TXCMILTX","Deaths per 100 000 population (standardised rates)","AUT","Austria","2014","2014",20.6,,
"CICDNCRA","Malignant neoplasms of colon, rectum and anus","TXCMILTX","Deaths per 100 000 population (standardised rates)","BEL","Belgium","2000","2000",27.1,,
"CICDNCRA","Malignant neoplasms of colon, rectum and anus","TXCMILTX","Deaths per 100 000 population (standardised rates)","BEL","Belgium","2001","2001",26.3,,
"CICDNCRA","Malignant neoplasms of colon, rectum and anus","TXCMILTX","Deaths per 100 000 population (standardised rates)","BEL","Belgium","2002","2002",26.5,,
"CICDNCRA","Malignant neoplasms of colon, rectum and anus","TXCMILTX","Deaths per 100 000 population (standardised rates)","BEL","Belgium","2003","2003",25.4,,
"CICDNCRA","Malignant neoplasms of colon, rectum and anus","TXCMILTX","Deaths per 100 000 population (standardised rates)","BEL","Belgium","2004","2004",25.2,,
"CICDNCRA","Malignant neoplasms of colon, rectum and anus","TXCMILTX","Deaths per 100 000 population (standardised rates)","BEL","Belgium","2005","2005",25.6,,
"CICDNCRA","Malignant neoplasms of colon, rectum and anus","TXCMILTX","Deaths per 100 000 population (standardised rates)","BEL","Belgium","2006","2006",24.7,,
"CICDNCRA","Malignant neoplasms of colon, rectum and anus","TXCMILTX","Deaths per 100 000 population (standardised rates)","BEL","Belgium","2007","2007",24.6,,
"CICDNCRA","Malignant neoplasms of colon, rectum and anus","TXCMILTX","Deaths per 100 000 population (standardised rates)","BEL","Belgium","2008","2008",24.2,,
