sep = ,
"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","AUS","Australia","2000","2000",130,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","AUS","Australia","2001","2001",134.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","AUS","Australia","2002","2002",131.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","AUS","Australia","2003","2003",131,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","AUS","Australia","2004","2004",134,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","AUS","Australia","2005","2005",137.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","AUS","Australia","2006","2006",143.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","AUS","Australia","2007","2007",143.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","AUS","Australia","2008","2008",141,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","AUS","Australia","2009","2009",143.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","AUS","Australia","2010","2010",145.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","AUS","Australia","2011","2011",148.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","AUS","Australia","2012","2012",152.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","AUS","Australia","2013","2013",150.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","AUT","Austria","2000","2000",159,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","AUT","Austria","2001","2001",160.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","AUT","Austria","2002","2002",154.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","AUT","Austria","2003","2003",151.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","AUT","Austria","2004","2004",155.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","AUT","Austria","2005","2005",152.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","AUT","Austria","2006","2006",162.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","AUT","Austria","2007","2007",162.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","AUT","Austria","2008","2008",161.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","AUT","Austria","2009","2009",167.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","AUT","Austria","2010","2010",170.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","AUT","Austria","2011","2011",166.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","AUT","Austria","2012","2012",167.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","AUT","Austria","2013","2013",170.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","BEL","Belgium","2000","2000",161.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","BEL","Belgium","2001","2001",164.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","BEL","Belgium","2002","2002",165.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","BEL","Belgium","2003","2003",162.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","BEL","Belgium","2004","2004",160.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","BEL","Belgium","2005","2005",163.3,,
