sep = ,
"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"BODYOVMS","Overweight population, measured","PERWOMTF","% of females","AUS","Australia","2007","2007",31,,
"BODYOVMS","Overweight population, measured","PERWOMTF","% of females","AUS","Australia","2011","2011",28,,
"BODYOVMS","Overweight population, measured","PERWOMTF","% of females","AUS","Australia","2014","2014",28.8,,
"BODYOVMS","Overweight population, measured","PERMANTH","% of males","AUS","Australia","2007","2007",42.2,,
"BODYOVMS","Overweight population, measured","PERMANTH","% of males","AUS","Australia","2011","2011",41.9,,
"BODYOVMS","Overweight population, measured","PERMANTH","% of males","AUS","Australia","2014","2014",42.4,,
"BODYOVMS","Overweight population, measured","TOTPOPTX","% of total population","AUS","Australia","2007","2007",36.7,,
"BODYOVMS","Overweight population, measured","TOTPOPTX","% of total population","AUS","Australia","2011","2011",35,,
"BODYOVMS","Overweight population, measured","TOTPOPTX","% of total population","AUS","Australia","2014","2014",35.5,,
"BODYOVMS","Overweight population, measured","PERWOMTF","% of females","BEL","Belgium","2014","2014",27.2,,
"BODYOVMS","Overweight population, measured","PERMANTH","% of males","BEL","Belgium","2014","2014",37.4,,
"BODYOVMS","Overweight population, measured","TOTPOPTX","% of total population","BEL","Belgium","2014","2014",32.4,,
"BODYOVMS","Overweight population, measured","PERWOMTF","% of females","CAN","Canada","2004","2004",29,,
"BODYOVMS","Overweight population, measured","PERWOMTF","% of females","CAN","Canada","2005","2005",28.4,,
"BODYOVMS","Overweight population, measured","PERWOMTF","% of females","CAN","Canada","2008","2008",30.8,,
"BODYOVMS","Overweight population, measured","PERWOMTF","% of females","CAN","Canada","2010","2010",27.9,,
"BODYOVMS","Overweight population, measured","PERWOMTF","% of females","CAN","Canada","2013","2013",27.1,,
"BODYOVMS","Overweight population, measured","PERMANTH","% of males","CAN","Canada","2004","2004",40.6,,
"BODYOVMS","Overweight population, measured","PERMANTH","% of males","CAN","Canada","2005","2005",39.8,,
"BODYOVMS","Overweight population, measured","PERMANTH","% of males","CAN","Canada","2008","2008",40.9,,
"BODYOVMS","Overweight population, measured","PERMANTH","% of males","CAN","Canada","2010","2010",38.6,,
"BODYOVMS","Overweight population, measured","PERMANTH","% of males","CAN","Canada","2013","2013",41.8,,
"BODYOVMS","Overweight population, measured","TOTPOPTX","% of total population","CAN","Canada","2004","2004",34.4,,
"BODYOVMS","Overweight population, measured","TOTPOPTX","% of total population","CAN","Canada","2005","2005",34.1,,
"BODYOVMS","Overweight population, measured","TOTPOPTX","% of total population","CAN","Canada","2008","2008",35.8,,
"BODYOVMS","Overweight population, measured","TOTPOPTX","% of total population","CAN","Canada","2010","2010",33.2,,
"BODYOVMS","Overweight population, measured","TOTPOPTX","% of total population","CAN","Canada","2013","2013",34.4,,
"BODYOVMS","Overweight population, measured","PERWOMTF","% of females","CZE","Czech Republic","2000","2000",27,,
"BODYOVMS","Overweight population, measured","PERWOMTF","% of females","CZE","Czech Republic","2005","2005",29,,
"BODYOVMS","Overweight population, measured","PERWOMTF","% of females","CZE","Czech Republic","2008","2008",28,,
"BODYOVMS","Overweight population, measured","PERWOMTF","% of females","CZE","Czech Republic","2010","2010",28,,
"BODYOVMS","Overweight population, measured","PERMANTH","% of males","CZE","Czech Republic","2000","2000",35,,
"BODYOVMS","Overweight population, measured","PERMANTH","% of males","CZE","Czech Republic","2005","2005",42,,
"BODYOVMS","Overweight population, measured","PERMANTH","% of males","CZE","Czech Republic","2008","2008",41,,
"BODYOVMS","Overweight population, measured","PERMANTH","% of males","CZE","Czech Republic","2010","2010",40,,
"BODYOVMS","Overweight population, measured","TOTPOPTX","% of total population","CZE","Czech Republic","2000","2000",31,,
"BODYOVMS","Overweight population, measured","TOTPOPTX","% of total population","CZE","Czech Republic","2005","2005",35,,
"BODYOVMS","Overweight population, measured","TOTPOPTX","% of total population","CZE","Czech Republic","2008","2008",34,,
"BODYOVMS","Overweight population, measured","TOTPOPTX","% of total population","CZE","Czech Republic","2010","2010",34,,
"BODYOVMS","Overweight population, measured","PERWOMTF","% of females","FIN","Finland","2000","2000",35.3,,
"BODYOVMS","Overweight population, measured","PERWOMTF","% of females","FIN","Finland","2011","2011",34,,
"BODYOVMS","Overweight population, measured","PERMANTH","% of males","FIN","Finland","2000","2000",46.8,,
"BODYOVMS","Overweight population, measured","PERMANTH","% of males","FIN","Finland","2011","2011",46.4,,
"BODYOVMS","Overweight population, measured","TOTPOPTX","% of total population","FIN","Finland","2000","2000",41.1,,
"BODYOVMS","Overweight population, measured","TOTPOPTX","% of total population","FIN","Finland","2011","2011",40.2,,
"BODYOVMS","Overweight population, measured","PERWOMTF","% of females","FRA","France","2006","2006",23.8,,
"BODYOVMS","Overweight population, measured","PERWOMTF","% of females","FRA","France","2015","2015",26.8,,
"BODYOVMS","Overweight population, measured","PERMANTH","% of males","FRA","France","2006","2006",41,,
